"wallet_id","created_at"
"1","2024-06-18"
"2","2024-06-18"
"3","2024-06-19"
"4","2024-06-19"
"5","2024-06-19"
"6","2024-06-20"
"7","2024-06-22"
"8","2024-06-22"
"9","2024-06-23"
"10","2024-06-23"
"11","2024-06-23"
"12","2024-06-23"
"13","2024-06-23"
"14","2024-06-23"
"15","2024-06-24"
"16","2024-06-24"
"17","2024-06-24"
"18","2024-06-24"
"19","2024-06-26"
"20","2024-06-26"
"21","2024-06-26"
"22","2024-06-26"
"23","2024-06-27"
"24","2024-06-27"
"25","2024-06-28"
"26","2024-06-28"
"27","2024-06-28"
"28","2024-06-29"
"29","2024-06-29"
"30","2024-06-29"
"31","2024-06-29"
"32","2024-06-29"
"33","2024-06-30"
"34","2024-06-30"
"35","2024-06-30"
"36","2024-07-01"
"37","2024-07-01"
"38","2024-07-01"
"39","2024-07-02"
"40","2024-07-02"
"41","2024-07-03"
"42","2024-07-03"
"43","2024-07-03"
"44","2024-07-03"
"45","2024-07-03"
"46","2024-07-04"
"47","2024-07-04"
"48","2024-07-04"
"49","2024-07-04"
"50","2024-07-05"
"51","2024-07-05"
"52","2024-07-06"
"53","2024-07-07"
"54","2024-07-08"
"55","2024-07-08"
"56","2024-07-08"
"57","2024-07-08"
"58","2024-07-09"
"59","2024-07-10"
"60","2024-07-10"
"61","2024-07-10"
"62","2024-07-10"
"63","2024-07-10"
"64","2024-07-11"
"65","2024-07-11"
"66","2024-07-11"
"67","2024-07-12"
"68","2024-07-12"
"69","2024-07-12"
"70","2024-07-12"
"71","2024-07-12"
"72","2024-07-13"
"73","2024-07-14"
"74","2024-07-14"
"75","2024-07-15"
"76","2024-07-15"
"77","2024-07-15"
"78","2024-07-16"
"79","2024-07-16"
"80","2024-07-16"
"81","2024-07-17"
"82","2024-07-17"
"83","2024-07-17"
"84","2024-07-18"
"85","2024-07-18"
"86","2024-07-19"
"87","2024-07-20"
"88","2024-07-20"
"89","2024-07-21"
"90","2024-07-22"
"91","2024-07-22"
"92","2024-07-22"
"93","2024-07-22"
"94","2024-07-22"
"95","2024-07-23"
"96","2024-07-23"
"97","2024-07-23"
"98","2024-07-25"
"99","2024-07-25"
"100","2024-07-25"
