"count","date"
"2","2024-06-18"
"3","2024-06-19"
"1","2024-06-20"
"0","2024-06-21"
"2","2024-06-22"
"6","2024-06-23"
"4","2024-06-24"
"0","2024-06-25"
"4","2024-06-26"
"2","2024-06-27"
"3","2024-06-28"
"5","2024-06-29"
"3","2024-06-30"
"3","2024-07-01"
"2","2024-07-02"
"5","2024-07-03"
"4","2024-07-04"
"2","2024-07-05"
"1","2024-07-06"
"1","2024-07-07"
"4","2024-07-08"
"1","2024-07-09"
"5","2024-07-10"
"3","2024-07-11"
"5","2024-07-12"
"1","2024-07-13"
"2","2024-07-14"
"3","2024-07-15"
"3","2024-07-16"
"3","2024-07-17"
"2","2024-07-18"
"1","2024-07-19"
"2","2024-07-20"
"1","2024-07-21"
"5","2024-07-22"
"3","2024-07-23"
"0","2024-07-24"
"3","2024-07-25"
